"Rating (1-5 scale, Not Effective to Very Effective)","Opinion Change (1-5 scale, No Difference to Very Different)",Reasons for Opinion Change,Additional Comments,Version, ,Rating,,,,,,
"""Please rate your experience, based on emotional resonse and engagement.""","""How has your opinion of the refugee crisis changed?""","""Please elaborate on the previous answer.""","""Anything else they wanted to add.""",Complete or Incomplete, ,"1-5, Count",0,0,5,14,4,
3,2,Still have a lot of empathy for them,N/A,Incomplete, ,Total Count,23,,,,,
4,1,N/A,You should follow the same character around w/ storyline. You should make something in color.,Incomplete, ,Percentages,0,0,22,61,17,
5,4,N/A,Very cool and unique experience,Incomplete, ,Opinion Change ,,,,,,
4,4,The beginning with the house bomb plunged me into the experience right away and the google cardboard experience put me right into the situation.,At one scene  (I think the refugee camp?) there was a black circle if you swivel around - idk if you can fix that though.,Complete, ,"1-5, Count",1,4,7,9,2,
4,4,You can see what refugees think and understand the situation better.,"At the beginning I didn't know what it was about, but I liked the ""suspense"" it had. I didn't understand the purpose of the ?????  of the dog.",Complete, ,Total Count,23,,,,,
4,3,Read a lot about the refugee crisis but this showed me more firsthand into what the refugee experience is.,"boat scene -> feelings of sea sickness, crowded, claustrophobic",Complete, ,Percentages,4,17,30,39,9,
4,4,N/A,Very cool - hard tohold attention span but greate v effective idea,Complete, ,,,,,,,
3,3,"In combination with other information sources and activities (such as standing in the amount of space they have on the boat), it is helpful",Adding more action items for the water would be extremely beneficial,Incomplete,,,,,,,,
4,5,"To be in the same space as refugees caused me to think more deeply about what it means when your life is in turmoil and you are somewhere new, not knowing what's next.",N/A,Incomplete,,,,,,,,
5,3,"It grabbed my attention in a way that news does not. It made me interested in what the story may have been, and wanted to know more.",N/A,Incomplete,,,,,,,,
3,4,Saw the examples of what ocurrs when refugees travel,N/A,Incomplete,,,,,,,,
4,4,Color scheme is effective…<3 the lack of color,I would love to see this further w/ a storyline,Incomplete,,,,,,,,
3,2,It's always helpful to have a more personal perspective of an event. The color white was more effective for me on the boat than the city. The city being white felt more like a video game.,N/A,Incomplete,,,,,,,,
4,2,My parents described to me how they immigrated from Vietnam to USA. Their description is very familia when I went through the visual/audio simulation,N/A,Incomplete,,,,,,,,
4,4,Definitely helps put the viewer in the refugee's shoes.,Very creative..,Incomplete,,,,,,,,
3,3,I think that it would ellicit more of a response if it came with a story. Just seeing the situation I was slightly confused. Maybe having associated smells? A back story.,N/A,Incomplete,,,,,,,,
4,3,"Color would help. I think to get an emotional response you need it to feel really lifelike, and color would go a long way.",Adding people and action would also make for a more visceral reaction.,Incomplete,,,,,,,,
5,5,very eye opening to be as if you were there,N/A,Incomplete,,,,,,,,
5,4,Allows one to see the world through the eyes of a refugee – very powerful!,N/A,Incomplete,,,,,,,,
4,3,I already cared about the refugee cirisis. I think the immersive experience is very effective in creating empathy. Color might add an additional dimension,N/A,Incomplete,,,,,,,,
4,2,N/A,I would recommend less contrast for night scenes on the boat. The most sea sick I have ever been was @ night pitch dark unable to find any horizon. Creates an empathy for sure.,Incomplete,,,,,,,,
4,3,"I never really put much though into the topic, but I guess I understand the struggles of a refugee.","It was a really cool experience, I overall really enjoyed it.",Complete,,,,,,,,
4,4,The VR presentation did change my perspective on what refugee's are going through.,N/A,Complete,,,,,,,,
